,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
12426,Fahrni,Schweine,732,802,1.1
12334,Meikirch,Schweine,725,2465,3.4
12365,Grosshöchstetten,Schweine,725,3517,4.85
13443,Zeihen,Schweine,721,1116,1.55
12890,Etziken,Schweine,721,825,1.14
12717,Mézières (FR),Schweine,720,998,1.39
14340,Courtedoux,Schweine,718,761,1.06
13567,Stettfurt,Schweine,712,1196,1.68
13325,Erlinsbach (AG),Schweine,710,4091,5.76
14300,Courroux,Schweine,704,3256,4.62
12724,Vuisternens-devant-Romont,Schweine,703,2271,3.23
12713,Châtonnaye,Schweine,701,823,1.17
13471,Besenbüren,Schweine,701,616,0.88
13467,Abtwil,Schweine,696,997,1.43
12696,Montagny (FR),Schweine,695,2404,3.46
12408,Niedermuhlern,Schweine,692,474,0.68
12203,Aarberg,Schweine,692,4527,6.54
13153,Sevelen,Schweine,690,4999,7.24
13511,Reitnau,Schweine,688,1269,1.84
13527,Full-Reuenthal,Schweine,685,880,1.28
13884,Le Lieu,Schweine,673,873,1.3
12301,Höchstetten,Schweine,670,287,0.43
13480,Mühlau,Schweine,666,1096,1.65
12290,Wiedlisbach,Schweine,664,2325,3.5
12246,Aarwangen,Schweine,662,4518,6.82
11964,Affoltern am Albis,Schweine,654,11900,18.2
12775,Le Mouret,Schweine,652,3156,4.84
12782,La Brillaz,Schweine,651,1983,3.05
13326,Gränichen,Schweine,651,7624,11.71
12267,Eriswil,Schweine,650,1407,2.16
12033,Neerach,Schweine,650,3128,4.81
12627,Schübelbach,Schweine,643,9073,14.11
12381,Zäziwil,Schweine,640,1637,2.56
12034,Niederglatt,Schweine,639,4914,7.69
13193,Uzwil,Schweine,638,12816,20.09
12387,Frauenkappelen,Schweine,637,1218,1.91
12232,Treiten,Schweine,632,426,0.67
13034,Bennwil,Schweine,629,641,1.02
12628,Tuggen,Schweine,629,3239,5.15
13533,Leuggern,Schweine,629,2129,3.38
12288,Wangen an der Aare,Schweine,627,2305,3.68
12354,Mattstetten,Schweine,626,566,0.9
12571,Roggliswil,Schweine,624,682,1.09
12988,Arisdorf,Schweine,619,1657,2.68
13550,Kesswil,Schweine,617,996,1.61
12104,Volketswil,Schweine,615,18582,30.21
13796,Missy,Schweine,614,359,0.58
13374,Sarmenstorf,Schweine,611,2851,4.67
12177,Petit-Val,Schweine,610,410,0.67
13601,Eschlikon,Schweine,607,4309,7.1
12505,Ebikon,Schweine,606,13313,21.97
13183,Wattwil,Schweine,604,8630,14.29
12667,Stansstad,Schweine,604,4423,7.32
12504,Dierikon,Schweine,604,1481,2.45
13448,Brunegg,Schweine,604,738,1.22
12023,Wil (ZH),Schweine,602,1372,2.28
13018,Ormalingen,Schweine,601,2176,3.62
12726,Torny,Schweine,598,896,1.5
13074,Ramsen,Schweine,596,1443,2.42
12804,Alterswil,Schweine,596,2037,3.42
13477,Geltwil,Schweine,590,199,0.34
12837,Niederbuchsiten,Schweine,590,1142,1.94
12921,Boningen,Schweine,588,770,1.31
13206,Bergün Filisur,Schweine,585,503,0.86
12783,La Sonnaz,Schweine,580,1092,1.88
14326,Le Noirmont,Schweine,580,1845,3.18
13837,Montanaire,Schweine,574,2494,4.34
12853,Lüterkofen-Ichertswil,Schweine,574,783,1.36
12114,Hagenbuch,Schweine,574,1095,1.91
13014,Läufelfingen,Schweine,573,1314,2.29
13492,Obermumpf,Schweine,572,1051,1.84
11979,Benken (ZH),Schweine,570,857,1.5
14348,Basse-Allaine,Schweine,569,1225,2.15
13003,Anwil,Schweine,567,581,1.02
12107,Altikon,Schweine,566,658,1.16
13427,Eiken,Schweine,560,2255,4.03
14273,Jussy,Schweine,560,1264,2.26
13407,Schinznach,Schweine,554,2219,4.01
13331,Suhr,Schweine,553,9990,18.07
12323,Schangnau,Schweine,544,909,1.67
12797,Misery-Courtion,Schweine,542,1909,3.52
13838,Jorat-Menthue,Schweine,540,1542,2.86
13101,Reute (AR),Schweine,539,699,1.3
13872,Orbe,Schweine,535,6903,12.9
13697,Lugano,Schweine,524,63932,122.01
13117,St. Gallen,Schweine,524,75481,144.05
13633,Cadenazzo,Schweine,523,2855,5.46
13534,Mellikon,Schweine,522,256,0.49
12121,Turbenthal,Schweine,521,4681,8.98
12660,Dallenwil,Schweine,520,1832,3.52
12815,St. Ursen,Schweine,516,1319,2.56
13425,Zetzwil,Schweine,512,1319,2.58
14233,Cressier (NE),Schweine,512,1921,3.75
13094,Teufen (AR),Schweine,511,6201,12.14
12799,Murten,Schweine,510,8168,16.02
12375,Oberdiessbach,Schweine,508,3496,6.88
13973,Senarclens,Schweine,502,459,0.91
13031,Zunzgen,Schweine,501,2498,4.99
12849,Mümliswil-Ramiswil,Schweine,500,2456,4.91
12122,Winterthur,Schweine,500,109775,219.55
13066,Schaffhausen,Schweine,497,36148,72.73
13143,Eichberg,Schweine,496,1537,3.1
12910,Grenchen,Schweine,496,16985,34.24
13276,Schiers,Schweine,494,2627,5.32
13498,Wegenstetten,Schweine,494,1079,2.18
12716,Massonnens,Schweine,493,510,1.03
13505,Brittnau,Schweine,492,3882,7.89
13012,Känerkinden,Schweine,492,523,1.06
13089,Waldstatt,Schweine,492,1767,3.59
13518,Wiliberg,Schweine,490,167,0.34
11992,Marthalen,Schweine,490,1938,3.96
13595,Salenstein,Schweine,488,1288,2.64
12042,Rümlang,Schweine,486,8026,16.51
12768,Grolley,Schweine,485,1945,4.01
12848,Matzendorf,Schweine,484,1323,2.73
13092,Gais,Schweine,483,3106,6.43
13451,Fahrwangen,Schweine,482,2061,4.28
12244,Worben,Schweine,475,2259,4.76
13157,Flums,Schweine,474,4919,10.38
14237,Lignières,Schweine,466,965,2.07
13570,Warth-Weiningen,Schweine,466,1260,2.7
13070,Siblingen,Schweine,463,847,1.83
13102,Wald (AR),Schweine,461,864,1.87
12373,Münsingen,Schweine,460,12396,26.95
12555,Alberswil,Schweine,460,648,1.41
14331,Alle,Schweine,459,1817,3.96
12108,Brütten,Schweine,456,2030,4.45
12289,Wangenried,Schweine,454,426,0.94
13559,Diessenhofen,Schweine,452,3767,8.33
14306,Mettembert,Schweine,448,112,0.25
13225,Trimmis,Schweine,447,3301,7.38
13085,Schönengrund,Schweine,445,516,1.16
13364,Büttikon,Schweine,445,1002,2.25
13299,Cazis,Schweine,442,2132,4.82
12518,Weggis,Schweine,440,4381,9.96
12642,Sattel,Schweine,440,1926,4.38
12773,Pierrafortscha,Schweine,440,148,0.34
14236,Le Landeron,Schweine,440,4559,10.36
13260,Chur,Schweine,435,34880,80.18
12405,Kirchenthurnen,Schweine,433,280,0.65
14301,Courtételle,Schweine,432,2547,5.9
12198,Scheuren,Schweine,430,451,1.05
12070,Wädenswil,Schweine,425,21797,51.29
14221,La Grande-Béroche,Schweine,423,9068,21.44
13607,Tobel-Tägerschen,Schweine,420,1596,3.8
13626,Märstetten,Schweine,419,2802,6.69
12874,Kienberg,Schweine,418,527,1.26
13401,Thalheim (AG),Schweine,417,824,1.98
13005,Buckten,Schweine,414,696,1.68
12423,Blumenstein,Schweine,413,1209,2.93
12206,Kallnach,Schweine,410,1910,4.66
13956,Cossonay,Schweine,407,3642,8.95
13324,Densbüren,Schweine,405,708,1.75
13429,Gansingen,Schweine,405,1019,2.52
12173,Seehof,Schweine,403,65,0.16
13942,Ballens,Schweine,400,509,1.27
13376,Uezwil,Schweine,400,460,1.15
13146,Rebstein,Schweine,400,4480,11.2
13937,Oron,Schweine,395,5423,13.73
12575,Wikon,Schweine,394,1506,3.82
14269,Genthod,Schweine,392,2721,6.94
11988,Henggart,Schweine,390,2242,5.75
13402,Veltheim (AG),Schweine,385,1447,3.76
13179,Hemberg,Schweine,383,914,2.39
13078,Oberhallau,Schweine,383,446,1.16
13226,Untervaz,Schweine,381,2491,6.54
13933,Essertes,Schweine,381,335,0.88
13424,Unterkulm,Schweine,378,3027,8.01
13091,Bühler,Schweine,376,1746,4.64
12172,Schelten,Schweine,375,37,0.1
12681,Oberägeri,Schweine,369,5994,16.24
13806,Daillens,Schweine,368,958,2.6
12623,Galgenen,Schweine,366,5199,14.2
12733,Bulle,Schweine,365,22523,61.71
13541,Wislikofen,Schweine,364,358,0.98
12257,Oeschenbach,Schweine,363,240,0.66
13119,Eggersriet,Schweine,363,2293,6.32
12896,Lohn-Ammannsegg,Schweine,362,2772,7.66
12915,Lommiswil,Schweine,360,1501,4.17
12760,Corminboeuf,Schweine,360,2454,6.82
12836,Neuendorf,Schweine,357,2089,5.85
14314,Haute-Sorne,Schweine,357,6908,19.35
12300,Hindelbank,Schweine,355,2458,6.92
12604,Seelisberg,Schweine,354,683,1.93
13147,Rüthi (SG),Schweine,354,2305,6.51
13440,Ueken,Schweine,351,906,2.58
13861,Ballaigues,Schweine,350,1114,3.18
12889,Derendingen,Schweine,350,6437,18.39
12144,Cortébert,Schweine,348,700,2.01
13137,Berneck,Schweine,348,3956,11.37
13576,Mammern,Schweine,342,653,1.91
12715,Grangettes,Schweine,341,185,0.54
12090,Weisslingen,Schweine,340,3278,9.64
12759,Chénens,Schweine,340,844,2.48
12145,Courtelary,Schweine,340,1366,4.02
12264,Thunstetten,Schweine,337,3338,9.91
13768,Villeneuve (VD),Schweine,336,5573,16.59
12668,Wolfenschiessen,Schweine,335,2136,6.38
12464,Diemtigen,Schweine,335,2175,6.49
13232,Landquart,Schweine,333,8854,26.59
12272,Berken,Schweine,332,43,0.13
