,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
11750,Troistorrents,Ziegen,43,4568,106.23
11748,Port-Valais,Ziegen,43,3937,91.56
10488,Trimbach,Ziegen,43,6553,152.4
9875,Eriswil,Ziegen,43,1407,32.72
11464,Sainte-Croix,Ziegen,43,4912,114.23
10084,Gsteigwiler,Ziegen,43,398,9.26
10247,Oberiberg,Ziegen,43,885,20.58
10136,Hohenrain,Ziegen,42,2531,60.26
11010,Veltheim (AG),Ziegen,42,1447,34.45
10193,Werthenstein,Ziegen,42,2040,48.57
10700,Gais,Ziegen,42,3106,73.95
10876,Fideris,Ziegen,42,622,14.81
9661,Gossau (ZH),Ziegen,42,9827,233.98
11486,Valeyres-sous-Rances,Ziegen,42,625,14.88
9983,Oberdiessbach,Ziegen,42,3496,83.24
11805,Grächen,Ziegen,42,1313,31.26
10224,Feusisberg,Ziegen,42,5237,124.69
10919,Andeer,Ziegen,41,948,23.12
9980,Mirchel,Ziegen,41,622,15.17
10101,Guttannen,Ziegen,41,267,6.51
10104,Meiringen,Ziegen,41,4692,114.44
10120,Meggen,Ziegen,41,7002,170.78
10933,Erlinsbach (AG),Ziegen,41,4091,99.78
9754,La Ferrière,Ziegen,41,542,13.22
10023,Reutigen,Ziegen,41,988,24.1
10731,Waldkirch,Ziegen,41,3509,85.59
10826,Domat/Ems,Ziegen,41,8043,196.17
10898,Sumvitg,Ziegen,41,1216,29.66
11926,Les Bois,Ziegen,40,1219,30.48
10253,Steinerberg,Ziegen,40,916,22.9
10433,Granges (Veveyse),Ziegen,40,847,21.18
10872,Tschiertschen-Praden,Ziegen,40,327,8.18
11760,Blatten,Ziegen,40,293,7.32
9775,Perrefitte,Ziegen,40,450,11.25
10819,Zernez,Ziegen,40,1540,38.5
10327,Romont (FR),Ziegen,39,5204,133.44
10017,Riggisberg,Ziegen,39,2456,62.97
11216,Wängi,Ziegen,39,4632,118.77
10134,Hitzkirch,Ziegen,39,5190,133.08
9911,Kirchberg (BE),Ziegen,39,5909,151.51
10719,Schwende,Ziegen,39,2193,56.23
10780,Rapperswil-Jona,Ziegen,38,26962,709.53
9676,Schönenberg (ZH),Ziegen,38,1849,48.66
10211,Seedorf (UR),Ziegen,38,1794,47.21
10392,Gibloux,Ziegen,38,7236,190.42
11570,Gollion,Ziegen,38,901,23.71
9756,Orvin,Ziegen,38,1211,31.87
11803,Eisten,Ziegen,38,201,5.29
10707,Lutzenberg,Ziegen,38,1243,32.71
11426,Cugy (VD),Ziegen,38,2730,71.84
11271,Mergoscia,Ziegen,38,216,5.68
10703,Trogen,Ziegen,38,1750,46.05
9968,Arni (BE),Ziegen,38,917,24.13
11839,Les Ponts-de-Martel,Ziegen,38,1294,34.05
10125,Vitznau,Ziegen,37,1339,36.19
10049,Uebeschi,Ziegen,37,667,18.03
10712,Wolfhalden,Ziegen,37,1838,49.68
10925,Zillis-Reischen,Ziegen,37,391,10.57
10831,Trin,Ziegen,37,1340,36.22
10395,Courtepin,Ziegen,37,5398,145.89
11536,Puidoux,Ziegen,37,2863,77.38
11353,Bosco/Gurin,Ziegen,36,55,1.53
10341,Bulle,Ziegen,36,22523,625.64
10419,Plasselb,Ziegen,36,1040,28.89
11695,Vétroz,Ziegen,36,6135,170.42
9761,Sonvilier,Ziegen,36,1266,35.17
10436,Semsales,Ziegen,36,1435,39.86
10270,Ennetbürgen,Ziegen,36,4567,126.86
11401,Corcelles-près-Payerne,Ziegen,36,2381,66.14
10705,Grub (AR),Ziegen,36,1040,28.89
9862,Madiswil,Ziegen,35,3239,92.54
9730,Winterthur,Ziegen,35,109775,3136.43
11118,Oftringen,Ziegen,35,13511,386.03
10921,Donat,Ziegen,35,214,6.11
10060,Gsteig,Ziegen,35,981,28.03
11853,Val-de-Travers,Ziegen,35,10950,312.86
9960,Jegenstorf,Ziegen,35,5710,163.14
10145,Buttisholz,Ziegen,34,3248,95.53
10322,Ecublens (FR),Ziegen,34,332,9.76
10052,Wachseldorn,Ziegen,34,233,6.85
10108,Luzern,Ziegen,34,81592,2399.76
9938,Rüegsau,Ziegen,34,3202,94.18
9869,Rohrbachgraben,Ziegen,34,397,11.68
9724,Neftenbach,Ziegen,34,5564,163.65
10243,Ingenbohl,Ziegen,34,8758,257.59
9885,Herzogenbuchsee,Ziegen,34,6998,205.82
10089,Iseltwald,Ziegen,34,433,12.74
10793,Lütisburg,Ziegen,33,1541,46.7
10161,Triengen,Ziegen,33,4587,139.0
10745,Berneck,Ziegen,33,3956,119.88
11155,Egnach,Ziegen,33,4699,142.39
11044,Oberhof,Ziegen,33,598,18.12
11037,Gansingen,Ziegen,33,1019,30.88
10199,Andermatt,Ziegen,33,1355,41.06
11959,La Baroche,Ziegen,33,1212,36.73
10000,Mühleberg,Ziegen,33,2843,86.15
11934,Le Noirmont,Ziegen,32,1845,57.66
11929,Les Enfers,Ziegen,32,142,4.44
11371,Ollon,Ziegen,32,7503,234.47
10269,Emmetten,Ziegen,32,1384,43.25
11786,Icogne,Ziegen,32,566,17.69
11785,Grône,Ziegen,32,2415,75.47
10170,Fischbach,Ziegen,32,699,21.84
11935,Saignelégier,Ziegen,32,2556,79.88
10706,Heiden,Ziegen,31,4210,135.81
10035,Heiligenschwendi,Ziegen,31,691,22.29
11756,Bitsch,Ziegen,31,932,30.06
10164,Altbüron,Ziegen,31,1013,32.68
10909,Masein,Ziegen,31,478,15.42
10641,Arboldswil,Ziegen,31,561,18.1
11951,Fontenais,Ziegen,31,1686,54.39
9679,Horgen,Ziegen,31,20291,654.55
10117,Horw,Ziegen,31,13884,447.87
9878,Wyssachen,Ziegen,31,1146,36.97
10797,Degersheim,Ziegen,30,3986,132.87
11042,Laufenburg,Ziegen,30,3569,118.97
10386,Treyvaux,Ziegen,30,1449,48.3
10627,Rickenbach (BL),Ziegen,30,601,20.03
11569,Ferreyres,Ziegen,30,316,10.53
9959,Fraubrunnen,Ziegen,30,4962,165.4
10939,Suhr,Ziegen,30,9990,333.0
10814,Bergün Filisur,Ziegen,29,503,17.34
